Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
 Enjoying a beautiful day at the park!              , Positive  ,12:30:00 PM,User123, Twitter  , #Nature #Park                            ,15,30, USA      ,2023,1,15,12
 Traffic was terrible this morning.                 , Negative  ,8:45:00 AM, CommuterX    , Twitter  , #Traffic #Morning                        ,5,10, Canada   ,2023,1,15,8
 Just finished an amazing workout! 💪               , Positive  ,3:45:00 PM, FitnessFan   , Instagram , #Fitness #Workout                        ,20,40, USA        ,2023,1,15,15
 Excited about the upcoming weekend getaway!        , Positive  ,6:20:00 PM, AdventureX   , Facebook , #Travel #Adventure                       ,8,15, UK       ,2023,1,15,18
 Trying out a new recipe for dinner tonight.        , Neutral   ,7:55:00 PM, ChefCook     , Instagram , #Cooking #Food                           ,12,25, Australia ,2023,1,15,19
 Feeling grateful for the little things in life.    , Positive  ,9:10:00 AM, GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25,50, India    ,2023,1,16,9
 Rainy days call for cozy blankets and hot cocoa.   , Positive  ,2:45:00 PM, RainyDays    , Facebook , #RainyDays #Cozy                         ,10,20, Canada   ,2023,1,16,14
 The new movie release is a must-watch!             , Positive  ,7:30:00 PM, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15,30, USA    ,2023,1,16,19
 Political discussions heating up on the timeline.  , Negative  ,8:00:00 AM, DebateTalk   , Twitter  , #Politics #Debate                       ,30,60, USA      ,2023,1,17,8
 Missing summer vibes and beach days.               , Neutral   ,12:20:00 PM, BeachLover   , Facebook , #Summer #BeachDays                      ,18,35, Australia ,2023,1,17,12
 Just published a new blog post. Check it out!      , Positive  ,3:15:00 PM, BloggerX     , Instagram , #Blogging #NewPost                      ,22,45,USA,2023,1,17,15
 Feeling a bit under the weather today.             , Negative  ,10:30:00 AM, WellnessCheck, Twitter  , #SickDay #Health                        ,7,15, Canada   ,2023,1,18,10
